Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125172288	125172788	2.356532	8.81495E-08	1.387585	0.0191682	0.961971	SP4(0.95), HIC2(0.94), 
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125189669	125190169	2.195768	3.30946E-08	2.807738	0.000454327	0.9998	EGR1(0.92), 
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125195757	125196257	1.640147	3.86401E-17	1.416877	0.00353517	0.998797	PLAG1(0.91), 
CD4 TCM	ICOS	2	203936762	0.216000	0.162000	0.130096	6.80672E-31	0.923526	1.07209E-05	2	204014566	204015066	1.051128	0.000210328	1.355182	0.0132595	0.993561	ZNF148(0.98), ZNF219(0.92), SP1(0.91), 
CD4 TCM	ICOS	2	203936762	0.216000	0.162000	0.130096	6.80672E-31	0.923526	1.07209E-05	2	204022515	204023015	1.098722	0.00110473	1.185369	0.000353164	0.999186	ZNF740(0.88), 
CD4 TCM	ICOS	2	203936762	0.216000	0.162000	0.130096	6.80672E-31	0.923526	1.07209E-05	2	204023075	204023575	1.009324	4.41736E-20	0.765156	0.00068247	0.999967	SP3(0.99), 
CD4 TCM	ID2	2	8682055	0.286000	0.185000	0.229172	3.92759E-91	1.141672	0.000213421	2	8254124	8254624	1.259453	0.000832662	1.042313	0.00190688	0.999995	
CD4 TCM	ID2	2	8682055	0.286000	0.185000	0.229172	3.92759E-91	1.141672	0.000213421	2	8281857	8282357	2.455252	0.00490983	1.776185	0.00116283	0.999009	SP4(0.88), SP3(0.87), SP6(0.87), 
CD4 TCM	ID2	2	8682055	0.286000	0.185000	0.229172	3.92759E-91	1.141672	0.000213421	2	9070997	9071497	-0.930197	8.26773E-07	-0.747994	0.00113867	0.999463	KLF3(0.99), ARNT2(0.80), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149475133	149475633	2.474212	0.00391015	2.017525	4.00712E-06	0.987261	PLAG1(1.00), SP1(0.97), ZFY(0.88), ZNF148(0.81), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149475891	149476391	1.791800	0.0412622	2.370562	0.000288614	0.999994	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149476875	149477375	5.053967	0.000827616	2.289322	2.9964E-09	0.997944	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149480506	149481006	1.967864	0.0277094	1.465043	0.022347	0.993516	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149482948	149483448	2.340296	0.0390699	1.309639	0.00770502	0.975949	PLAGL1(0.99), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149483482	149483982	2.019025	0.00441609	1.970730	1.78564E-11	0.99391	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149484132	149484632	3.361420	0.00896523	1.933215	0.00231655	0.975805	SP6(0.91), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149484718	149485218	2.141867	0.0185187	1.965866	0.00010758	0.999969	ARNT2(0.83), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149485552	149486052	3.942052	0.00760456	2.036852	1.85387E-08	0.999939	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149491618	149492118	2.549183	0.0131356	1.621962	0.012901	0.98429	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149492896	149493396	2.078609	8.4397E-05	2.219332	0.000269091	0.997715	PLAG1(0.94), SP1(0.85), SP2(0.83), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149493403	149493903	1.149190	0.00139866	2.527085	3.30327E-05	0.997982	KLF6(0.98), PURA(0.88), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149494160	149494660	2.097505	0.00933256	2.807658	2.59167E-05	0.998619	PLAG1(1.00), PLAGL1(0.98), PATZ1(0.96), KLF16(0.89), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149495613	149496113	2.001732	0.00923267	1.659423	0.000145216	0.979425	PATZ1(0.98), SP6(0.88), 
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149496199	149496699	2.468164	0.0176553	1.714366	0.00327113	0.985978	
CD4 TCM	IDS	23	149505306	0.401000	0.341000	0.226434	5.53711E-49	0.981658	7.1062E-06	23	149498629	149499129	2.530680	0.0189683	2.064503	0.000348863	0.99949	
CD4 TCM	IER2	19	13150410	0.869000	0.612000	1.075278	0	1.115866	1.57817E-07	19	12881870	12882370	1.612086	4.54063E-21	1.614657	0.000151668	0.999011	HIC2(0.99), PURA(0.99), 
CD4 TCM	IER2	19	13150410	0.869000	0.612000	1.075278	0	1.115866	1.57817E-07	19	12883644	12884144	0.511140	0.0344286	0.521439	0.0207203	0.973647	PURA(0.94), 
CD4 TCM	IER5	1	181088699	0.309000	0.160000	0.360128	5.88102E-215	1.631950	1.84307E-07	1	180632212	180632712	-0.594707	0.00027082	-0.500160	0.000804169	0.999769	SP1(0.99), EGR1(0.93), ZNF148(0.93), ZNF740(0.87), 
CD4 TCM	IER5	1	181088699	0.309000	0.160000	0.360128	5.88102E-215	1.631950	1.84307E-07	1	181089986	181090486	0.311111	0.0224167	0.661690	0.0136002	0.999993	ZNF740(0.93), PURA(0.88), E2F6(0.85), ZNF148(0.84), SP2(0.81), 
CD4 TCM	IL16	15	81196878	0.131000	0.262000	-0.171349	1.2683E-141	-1.209802	6.44726E-06	15	81556049	81556549	0.500314	0.00173887	0.393792	0.0136651	0.996039	
CD4 TCM	INPP4B	4	142846535	0.218000	0.323000	-0.144897	4.49128E-72	-0.383649	0.00208941	4	142353089	142353589	1.500753	0.00051244	1.265422	0.0153481	0.998565	
CD4 TCM	INPP4B	4	142846535	0.218000	0.323000	-0.144897	4.49128E-72	-0.383649	0.00208941	4	142399219	142399719	-0.290144	0.0124709	-0.250196	0.00258498	0.964309	PURA(0.92), KLF7(0.88), 
CD4 TCM	INTS6	13	51453036	0.270000	0.184000	0.207122	3.35332E-75	0.936419	2.21893E-07	13	51259043	51259543	-0.634170	0.00106735	-0.559324	0.00587096	0.967362	PATZ1(0.98), EGR1(0.89), 
CD4 TCM	INTS6	13	51453036	0.270000	0.184000	0.207122	3.35332E-75	0.936419	2.21893E-07	13	51327027	51327527	-0.810819	0.0368881	-1.435641	0.0151569	0.993948	
CD4 TCM	INTS6	13	51453036	0.270000	0.184000	0.207122	3.35332E-75	0.936419	2.21893E-07	13	51396337	51396837	-2.181656	0.00893457	-1.687550	0.00147779	0.99819	
CD4 TCM	INTS6	13	51453036	0.270000	0.184000	0.207122	3.35332E-75	0.936419	2.21893E-07	13	51523167	51523667	-0.639159	1.80589E-05	-0.703278	0.00185939	0.999076	KLF6(0.99), E2F6(0.86), 
CD4 TCM	IRF9	14	24161264	0.231000	0.180000	0.122073	2.31418E-26	0.669029	0.00238519	14	24072373	24072873	-0.780791	1.84794E-12	-0.742478	0.0141075	0.973556	KLF3(0.99), SP3(0.97), SP1(0.96), PLAGL1(0.93), TFAP2C(0.85), 
CD4 TCM	IRF9	14	24161264	0.231000	0.180000	0.122073	2.31418E-26	0.669029	0.00238519	14	24298857	24299357	-1.196965	0.00299426	-1.048759	0.00215193	0.999802	PLAG1(0.89), 
CD4 TCM	IRF9	14	24161264	0.231000	0.180000	0.122073	2.31418E-26	0.669029	0.00238519	14	24425252	24425752	-0.232843	0.0454742	-0.285830	0.0377318	0.998193	
CD4 TCM	IRF9	14	24161264	0.231000	0.180000	0.122073	2.31418E-26	0.669029	0.00238519	14	24436633	24437133	-0.542671	0.021886	-1.737783	0.00577072	0.974952	HIC2(1.00), ZNF350(0.93), 
CD4 TCM	JUN	1	58784047	0.924000	0.705000	1.474141	0	1.839941	1.78844E-06	1	58777804	58778304	2.439747	0.0189073	1.232351	0.00410515	0.997993	PLAGL1(0.99), 
CD4 TCM	JUN	1	58784047	0.924000	0.705000	1.474141	0	1.839941	1.78844E-06	1	58812853	58813353	1.066217	8.91853E-08	0.979501	0.0184673	0.99957	KLF3(1.00), SP1(0.99), PATZ1(0.96), KLF16(0.96), KLF2(0.91), 
CD4 TCM	JUN	1	58784047	0.924000	0.705000	1.474141	0	1.839941	1.78844E-06	1	58941632	58942132	-1.002611	4.15032E-09	-0.867384	0.000146555	1	
CD4 TCM	JUNB	19	12791485	0.984000	0.926000	0.331973	1.04493E-179	0.847950	0.0195228	19	12881870	12882370	1.612086	4.54063E-21	1.614657	0.000151668	1	HIC2(0.99), PURA(0.99), 
CD4 TCM	JUNB	19	12791485	0.984000	0.926000	0.331973	1.04493E-179	0.847950	0.0195228	19	12883644	12884144	0.511140	0.0344286	0.521439	0.0207203	0.999996	PURA(0.94), 
CD4 TCM	JUNB	19	12791485	0.984000	0.926000	0.331973	1.04493E-179	0.847950	0.0195228	19	12899874	12900374	0.265759	0.0244423	0.347784	0.00952185	0.999564	KLF6(0.98), ZNF350(0.94), ZNF148(0.89), 
CD4 TCM	JUNB	19	12791485	0.984000	0.926000	0.331973	1.04493E-179	0.847950	0.0195228	19	13044840	13045340	-0.786259	0.00275643	-0.915068	0.0224205	0.969999	PLAG1(0.93), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18010654	18011154	-0.337048	0.000645707	-0.284364	0.0315528	0.9978	ARNT2(0.89), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18020134	18020634	-1.160458	7.34551E-07	-0.830530	0.00220149	0.986571	ARNT2(0.90), SP1(0.88), EGR1(0.85), ZNF148(0.81), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18125988	18126488	3.883364	0.0465142	1.935598	1.40432E-11	0.968501	ZFY(0.98), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18288855	18289355	1.103235	8.6555E-15	0.935422	0.00604703	0.999758	SP1(0.99), PURA(0.96), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18321650	18322150	1.022159	0.00437429	1.245146	0.0260361	0.973447	
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18349472	18349972	1.922667	0.0193239	1.867447	0.00809773	0.99998	
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18414414	18414914	-0.976407	0.0137572	-1.517591	0.0116522	0.983512	SP1(0.97), KLF16(0.90), KLF2(0.84), KLF3(0.80), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18466911	18467411	-1.166899	9.96279E-05	-1.155655	0.0380916	0.996187	SP1(0.98), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18473302	18473802	2.299724	3.56374E-05	1.993930	0.000336909	0.993709	PATZ1(1.00), KLF6(0.99), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18484392	18484892	1.215737	0.00129384	1.620089	0.0141896	0.999347	
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18499028	18499528	0.845598	0.000141809	1.381975	0.000647949	0.999818	PLAGL1(0.96), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18506490	18506990	0.626946	2.40295E-10	0.469743	0.000855922	0.999892	
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18519195	18519695	1.007725	0.00425774	2.423660	0.000630024	0.997394	
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18520837	18521337	0.802853	0.00158112	0.693310	0.00348082	0.984897	ZNF350(0.97), PURA(0.95), ZNF148(0.93), PLAGL1(0.93), KLF6(0.93), SP1(0.92), SP3(0.89), PATZ1(0.83), ZNF740(0.82), 
CD4 TCM	JUND	19	18281622	0.998000	0.983000	0.572997	0	1.003237	3.61699E-06	19	18521477	18521977	0.568603	0.000105843	0.454012	0.0168355	0.990094	ZFY(0.93), TFAP2C(0.92), SP1(0.88), 
CD4 TCM	KDM6B	17	7839905	0.160000	0.113000	0.106440	5.04104E-29	1.032794	7.3133E-06	17	8156809	8157309	1.050366	8.86538E-09	0.739288	3.01558E-05	0.999571	SP1(0.97), 
CD4 TCM	LDHA	11	18394388	0.673000	0.645000	0.255545	1.0178E-87	0.529505	1.90849E-06	11	18015018	18015518	-1.171686	1.41413E-14	-1.139980	1.1666E-05	0.996853	
CD4 TCM	LENG8	19	54449198	0.248000	0.339000	-0.107739	1.21625E-46	-0.344101	0.0178106	19	54372325	54372825	0.892526	0.00981475	0.922508	0.000225451	0.99511	SP1(0.99), PURA(0.99), SP4(0.99), SP2(0.97), KLF3(0.92), SP3(0.84), 
CD4 TCM	LPAR6	13	48444669	0.116000	0.192000	-0.109276	7.07928E-56	-0.734401	0.0219315	13	48497695	48498195	1.574735	0.008196	1.728033	0.0331406	0.999366	SP1(0.99), KLF3(0.96), PATZ1(0.92), ZNF148(0.90), 
CD4 TCM	LUC7L3	17	50719564	0.264000	0.510000	-0.381957	0	-1.233329	4.22887E-07	17	50985921	50986421	-1.911499	0.0132795	-1.596022	0.0185359	0.999403	
CD4 TCM	MAPK1IP1L	14	55051646	0.302000	0.256000	0.101406	6.46281E-19	0.808242	0.00262456	14	54804789	54805289	-1.091025	4.04074E-11	-0.816604	0.000332305	0.998233	EGR1(1.00), ZNF350(0.99), SP4(0.93), SP1(0.90), ZNF281(0.81), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150149625	150150125	0.522468	0.00583726	0.312761	0.0339686	0.996401	KLF6(1.00), SP1(0.96), KLF16(0.96), SP6(0.95), EGR1(0.94), PATZ1(0.94), PLAG1(0.92), ZNF740(0.91), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150213480	150213980	-0.416696	0.0257886	-0.276643	0.0250294	0.990604	EGR1(1.00), SP2(0.96), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150282160	150282660	-0.317053	0.0131059	-0.373115	0.0288732	0.974855	PLAG1(1.00), PURA(0.99), SP3(0.93), PATZ1(0.92), SP2(0.89), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150566158	150566658	3.179915	0.0167433	1.905449	1.01804E-12	0.981797	
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150569084	150569584	1.826522	1.36964E-05	1.867609	0.00311156	0.999833	ZFY(0.94), SP3(0.81), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150569751	150570251	1.731470	0.00354304	1.277188	0.00751615	0.999994	HIC2(0.99), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150570325	150570825	1.391683	0.000902579	2.215321	0.000685847	0.993009	
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150571067	150571567	1.432525	0.00145219	3.075524	8.43495E-06	0.99995	
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150572197	150572697	2.155107	5.01108E-11	1.881960	0.0065391	0.999557	KLF6(0.99), HIC2(0.94), SP1(0.94), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150573001	150573501	1.131476	0.025555	1.573521	0.00700554	0.974253	
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150573679	150574179	1.134044	0.0352375	1.296600	0.0268169	0.992717	
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150578943	150579443	0.769911	0.0345004	0.691982	0.000862536	0.999858	SP1(0.96), PLAGL1(0.93), ZFY(0.90), PATZ1(0.84), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150611517	150612017	0.556128	4.67248E-07	0.385289	0.0027552	0.999682	ARNT2(0.89), 
CD4 TCM	MCL1	1	150579738	0.451000	0.393000	0.213118	4.49022E-47	0.696941	1.10883E-05	1	150613385	150613885	1.291601	1.22924E-06	1.658795	8.87098E-05	1	
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100373183	100373683	1.523869	4.35761E-20	1.236966	0.00129292	0.998689	KLF6(1.00), SP1(1.00), PLAG1(0.99), ZNF740(0.98), PATZ1(0.98), SP4(0.98), KLF16(0.97), PURA(0.95), SP6(0.92), SP3(0.86), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100396575	100397075	0.348651	0.0435395	0.397513	0.000550052	0.990955	
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100441592	100442092	2.867107	0.00138824	1.780889	0.00208802	0.982696	KLF16(0.93), SP1(0.81), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100464305	100464805	1.045962	0.000902435	1.380149	0.00884603	0.991613	SP4(0.82), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100476314	100476814	1.726713	0.0215227	2.392677	8.58497E-05	0.998872	PATZ1(0.93), PLAGL1(0.87), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100477216	100477716	1.225582	0.0398369	1.450189	0.0484091	0.98928	KLF2(0.87), PLAG1(0.86), PATZ1(0.86), ZNF281(0.84), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100479009	100479509	1.593190	0.00440118	1.668428	0.000105111	0.996172	EGR1(1.00), SP1(0.99), KLF6(0.99), KLF16(0.97), ZNF148(0.97), PLAG1(0.92), SP4(0.82), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100483178	100483678	1.117548	0.00354315	2.038317	0.00108621	0.999547	PATZ1(1.00), KLF6(1.00), PLAG1(0.99), EGR1(0.99), SP6(0.89), SP3(0.84), 
CD4 TCM	MEPCE	7	100428789	0.124000	0.065000	0.124418	5.60102E-63	0.997453	2.52282E-05	7	100486034	100486534	0.473518	0.00156328	0.465696	0.000419378	0.999888	PATZ1(1.00), KLF6(1.00), EGR1(0.99), ZNF350(0.97), ARNT2(0.95), PURA(0.91), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1037487	1037987	-0.767691	0.01335	-1.337533	0.0240858	0.995981	SP1(0.99), SP6(0.99), HIC2(0.99), PLAG1(0.91), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1119069	1119569	2.025585	0.0300571	1.591132	5.19091E-07	0.963634	PATZ1(0.99), PURA(0.98), KLF6(0.96), SP1(0.95), EGR1(0.92), ZFY(0.92), SP2(0.92), KLF15(0.88), ZNF148(0.87), SP6(0.84), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1155646	1156146	-0.632351	0.00143861	-0.682188	0.00251412	0.996678	
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1271366	1271866	-1.161230	0.000117555	-1.013508	0.00619204	0.987663	SP4(0.91), SP1(0.89), E2F6(0.82), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1277159	1277659	-0.785807	0.0136785	-1.545896	0.00325494	0.987079	ZNF350(0.96), SP1(0.92), ZFY(0.80), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1435356	1435856	2.873478	0.00014423	2.114052	0.00109936	0.999932	ZNF740(0.93), SP2(0.90), 
CD4 TCM	MIDN	19	1248552	0.201000	0.121000	0.164928	1.37919E-75	1.203850	1.07264E-07	19	1469883	1470383	0.382472	0.013761	0.409085	0.00340961	0.998567	PLAGL1(1.00), PURA(1.00), SP1(0.99), PLAG1(0.98), SP4(0.97), ARNT2(0.96), KLF6(0.87), HIC2(0.87), 
CD4 TCM	MIF	22	23894382	0.594000	0.587000	0.116760	8.87938E-18	0.416908	0.0385283	22	24284818	24285318	-1.782819	0.00901557	-1.099582	0.0171674	0.999152	
CD4 TCM	NEU1	6	31862821	0.150000	0.041000	0.237488	8.13419E-213	2.495041	1.21398E-18	6	31663884	31664384	-1.147126	0.016416	-0.775828	0.0203856	0.991729	
CD4 TCM	NEU1	6	31862821	0.150000	0.041000	0.237488	8.13419E-213	2.495041	1.21398E-18	6	31664778	31665278	-1.646653	0.00214816	-1.112176	0.00508623	0.99894	EGR1(0.86), 
CD4 TCM	NEU1	6	31862821	0.150000	0.041000	0.237488	8.13419E-213	2.495041	1.21398E-18	6	31929400	31929900	0.822801	0.00297078	0.797606	0.00138514	0.977019	SP4(0.93), SP3(0.87), 
CD4 TCM	NKG7	19	51372654	0.111000	0.076000	0.145636	3.22783E-22	0.919398	0.0142266	19	51742841	51743341	-1.290424	0.000107176	-1.649886	0.00038144	0.983107	KLF16(0.96), 
CD4 TCM	NR4A2	2	156332721	0.304000	0.230000	0.245989	3.32933E-51	2.891794	0.00350703	2	156430362	156430862	0.481617	0.00243858	0.358858	0.015087	0.999774	
CD4 TCM	PABPN1	14	23320187	0.212000	0.309000	-0.112167	6.8526E-59	-0.542361	0.000125621	14	22986498	22986998	-0.469300	0.0027258	-0.635040	3.94227E-05	0.992228	
CD4 TCM	PABPN1	14	23320187	0.212000	0.309000	-0.112167	6.8526E-59	-0.542361	0.000125621	14	23120721	23121221	0.699649	0.0134669	0.574833	0.000665565	0.999439	ZNF148(0.82), 
CD4 TCM	PCGF5	10	91163011	0.273000	0.233000	0.104284	2.37207E-16	0.597788	8.9576E-05	10	91164523	91165023	-0.872455	1.11872E-06	-0.854906	0.00112195	0.993325	SP1(0.99), KLF16(0.89), 
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	45952792	45953292	-0.488749	0.000238147	-0.500488	0.0186636	0.99985	SP4(0.99), SP2(0.89), ZFY(0.82), 
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	46136904	46137404	-0.477446	0.0457257	-0.418090	0.0167391	0.989494	
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	46199141	46199641	-2.582606	4.3357E-20	-1.381463	0.00297845	0.999741	ZNF350(1.00), EGR1(1.00), SP3(0.99), SP1(0.98), PATZ1(0.97), KLF7(0.93), PLAG1(0.86), SP4(0.80), 
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	46207791	46208291	-1.729194	0.024074	-0.790176	0.0197601	0.959056	HIC2(1.00), ZNF281(1.00), SP2(0.96), ZBTB7A(0.83), 
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	46371566	46372066	3.592660	0.024782	1.282202	9.41743E-07	0.988442	TFAP2C(0.94), ZNF148(0.88), 
CD4 TCM	PCIF1	20	45934682	0.240000	0.186000	0.108067	2.55092E-28	0.802679	0.00267662	20	46402454	46402954	-2.407281	0.0043631	-1.242044	0.0445177	0.959779	KLF6(0.99), KLF3(0.93), 
CD4 TCM	PDE4D	5	60496286	0.281000	0.168000	0.235099	2.87904E-116	1.452477	0.000985038	5	60287123	60287623	0.868690	3.32903E-06	1.003429	0.002921	0.999824	KLF3(0.95), 
CD4 TCM	PDE4D	5	60496286	0.281000	0.168000	0.235099	2.87904E-116	1.452477	0.000985038	5	60436468	60436968	0.569455	0.000638333	0.629291	0.00194283	0.995946	
CD4 TCM	PELI1	2	64144420	0.189000	0.117000	0.153109	1.47952E-62	1.453850	0.000296002	2	64250742	64251242	-1.073798	8.70873E-10	-1.049071	0.00160726	0.999937	PLAGL1(0.99), 
CD4 TCM	PIM2	23	48919024	0.228000	0.176000	0.116070	4.89062E-27	0.696551	0.000551169	23	48935063	48935563	1.635251	6.09828E-09	2.273452	9.20063E-05	0.997941	
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44406716	44407216	-1.067943	0.0149487	-1.280376	0.0106497	0.979423	EGR1(0.87), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44806857	44807357	0.683882	0.000367672	0.798056	0.000425059	0.999795	
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44807649	44808149	0.710910	3.61628E-10	0.885006	0.000259275	1	SP1(1.00), ZNF350(1.00), EGR1(1.00), KLF3(1.00), KLF16(0.84), KLF2(0.82), KLF7(0.80), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44808215	44808715	0.693389	0.000106472	1.356212	0.00483345	0.999999	EGR1(1.00), ZNF148(0.92), SP4(0.86), E2F6(0.84), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44808806	44809306	1.498022	2.12782E-10	1.464561	5.8999E-05	0.997851	PATZ1(0.99), SP1(0.91), ZNF148(0.88), PURA(0.81), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44809432	44809932	0.356105	0.0012173	0.254686	0.0161256	0.994929	SP1(1.00), KLF16(0.93), 
